Name,Confidence,Brightness,FaceArea,EyesDistance,MouthDistance,EyesOpen,Eyeglass,Gender,Moustache,Beard,Sharpness,MatchScore
S01_1043.pgm,0,0,0,0,0,,,0,0,0,92.12665472,3
S01_1044.pgm,0,0,0,0,0,,,0,0,0,93.29723357,1.695
S01_1045.pgm,0,0,0,0,0,,,0,0,0,104.088343,0.199
S01_1047.pgm,0,0,0,0,0,,,0,0,0,118.4532894,1.471
S01_1048.pgm,99.67513275,28.45105743,1.444619215,0.364969168,0.237934904,1,1,0,0,0,139.768894,0.721
S01_1049.pgm,0,0,0,0,0,,,0,0,0,161.5940023,1.731
S01_105.pgm,99.96056366,28.32130814,0.707863335,0.320768354,0.245376652,,0,0,0,0,144.0079647,3
S01_1050.pgm,0,0,0,0,0,,,0,0,0,167.6348877,1.894
S01_1051.pgm,0,0,0,0,0,,,0,0,0,140.8721166,1.834
S01_1052.pgm,0,0,0,0,0,,,0,0,0,91.24436951,1.667
S01_1054.pgm,0,0,0,0,0,,,0,0,0,100.0003888,0.414
S01_1055.pgm,0,0,0,0,0,,,0,0,0,130.035894,1.508
S01_1056.pgm,0,0,0,0,0,,,0,0,0,185.5286195,3
S01_1057.pgm,0,0,0,0,0,,,0,0,0,273.0069036,3
S01_1058.pgm,0,0,0,0,0,,,0,0,0,306.4056113,3
S01_106.pgm,99.91788483,27.71696091,0.72141067,0.325923552,0.239324503,,0,0,0,0,227.1691773,0.857
S01_1062.pgm,0,0,0,0,0,,,0,0,0,219.2558118,0.117
S01_1063.pgm,0,0,0,0,0,,,0,0,0,120.4278683,3
S01_1065.pgm,99.92214966,33.75866699,0.762823036,0.298089613,0.208057072,1,,0,0,0,95.36393154,0.934
S01_1066.pgm,99.85483551,32.99023819,0.667991894,0.275402932,0.197949044,1,,0,0,0,466.829635,0.284
S01_1067.pgm,99.96465302,35.35494995,0.791073402,0.300514846,0.233274836,,,0,0,0,281.3502484,0.35
S01_1068.pgm,0,0,0,0,0,,,0,0,0,134.186884,0.131
S01_107.pgm,99.80093384,28.40281487,0.667991894,0.312596631,0.215540707,,0,0,0,0,112.8501976,0.41
S01_1071.pgm,99.8837738,29.80684853,0.97136188,0.320025534,0.223466802,0,,0,0,0,416.2176099,3
S01_1072.pgm,99.99723816,27.33756256,0.92455616,0.332300325,0.229651617,1,1,0,0,0,466.6294711,3
S01_1073.pgm,99.98418427,27.93047333,0.769821422,0.290529694,0.202610712,1,0,0,0,0,333.6419973,0.924
S01_1076.pgm,99.99703979,30.26057434,0.827092619,0.327446256,0.241075328,1,1,0,0,0,35.10862431,1.082
S01_108.pgm,99.92563629,28.16125107,0.667991894,0.324164633,0.218885631,1,0,0,0,0,234.4991227,1.335
S01_1082.pgm,99.94706726,30.26141739,0.776884013,0.315539755,0.224116065,1,,0,0,0,180.8661218,1
S01_1085.pgm,99.95511627,24.66679001,0.87890625,0.340716802,0.257205153,0,,0,0,0,89.45289752,0.735
S01_109.pgm,99.93615723,27.34837914,0.681153997,0.319580206,0.239103638,,0,0,0,0,129.9229842,3
S01_1090.pgm,0,0,0,0,0,,,0,0,0,210.7927607,3
S01_1093.pgm,0,0,0,0,0,,,0,0,0,129.8859681,0.565
S01_110.pgm,99.78391266,24.91930962,0.755824702,0.314856054,0.228424986,1,0,0,0,0,125.6913305,0.355
S01_1101.pgm,0,0,0,0,0,,,0,0,0,198.8876041,0.256
S01_1106.pgm,0,0,0,0,0,,,0,0,0,294.3643181,0.214
S01_111.pgm,99.83916473,26.3402462,0.681153997,0.308181385,0.235772649,0,0,0,0,0,16.76074143,0.069
S01_1114.pgm,0,0,0,0,0,,,0,0,0,296.3866088,0.274
S01_112.pgm,99.91589355,25.23975945,0.616627591,0.300420464,0.224893412,1,1,0,0,0,79.63259265,0.136
S01_1124.pgm,93.26373291,31.35936928,0.762823036,0.28890771,0.217012099,,0,0,0,0,403.6676788,0.093
S01_1130.pgm,0,0,0,0,0,,,0,0,0,58.54687029,0.858
S01_1131.pgm,0,0,0,0,0,,,0,0,0,72.77242402,1.074
S01_1132.pgm,0,0,0,0,0,,,0,0,0,87.93151813,0.82
S01_1133.pgm,0,0,0,0,0,,,0,0,0,88.70373366,0.53
S01_1135.pgm,0,0,0,0,0,,,0,0,0,59.61988769,0.309
S01_1136.pgm,0,0,0,0,0,,,0,0,0,57.41499356,0.487
S01_1139.pgm,0,0,0,0,0,,,0,0,0,67.00366041,0.191
S01_114.pgm,99.76813507,25.47642326,0.694444411,0.312337465,0.205640395,1,0,0,0,0,97.38076753,0.106
S01_1142.pgm,0,0,0,0,0,,,0,0,0,76.18675359,0.298
S01_1144.pgm,0,0,0,0,0,,,0,0,0,86.28441248,0.14
S01_1145.pgm,0,0,0,0,0,,,0,0,0,86.05153033,0.113
S01_1146.pgm,0,0,0,0,0,,,0,0,0,81.55844286,0.138
S01_1147.pgm,0,0,0,0,0,,,0,0,0,91.6731717,0.13
S01_1148.pgm,99.9651947,36.47765732,0.827092619,0.32060329,0.245493496,1,1,0,0,0,316.5046959,0.386
S01_115.pgm,99.78990936,23.90734482,0.735086416,0.324759911,0.21569303,1,0,0,0,0,223.6332463,0.538
S01_1151.pgm,99.94974518,41.94979858,0.776884013,0.309159222,0.240259153,0,1,0,0,0,23.44493582,1.233
S01_1152.pgm,99.85712433,37.8386879,0.776884013,0.29981148,0.253228779,1,1,0,0,0,62.41710027,0.066
S01_1155.pgm,99.92269897,40.60479736,0.694444411,0.300240151,0.233426921,1,0,0,0,0,54.50518121,3
S01_1156.pgm,99.95240784,36.90625763,0.694444411,0.296579431,0.226433973,1,0,0,0,0,80.34362944,0.083
S01_116.pgm,0,0,0,0,0,,,0,0,0,176.8823669,1.022
S01_1164.pgm,99.45014954,33.05890274,0.819837411,0.31811859,0.247734121,1,0,0,0,0,265.6504441,0.255
S01_1165.pgm,0,0,0,0,0,,,0,0,0,206.8796409,0.207
S01_1166.pgm,99.70638275,33.4694519,0.819837411,0.319230322,0.245851547,0,0,0,0,0,264.0597178,0.141
S01_1171.pgm,0,0,0,0,0,,,0,0,0,191.9521021,0.141
S01_1173.pgm,0,0,0,0,0,,,0,0,0,192.5102606,0.175
S01_1176.pgm,0,0,0,0,0,,,0,0,0,336.8424894,0.131
S01_1192.pgm,0,0,0,0,0,,,0,0,0,285.2508366,3
S01_1194.pgm,0,0,0,0,0,,,0,0,0,201.7897863,0.42
S01_1195.pgm,0,0,0,0,0,,,0,0,0,183.0479698,0.351
S01_1196.pgm,0,0,0,0,0,,,0,0,0,176.5046691,3
S01_1197.pgm,0,0,0,0,0,,,0,0,0,231.0844653,3
S01_1198.pgm,0,0,0,0,0,,,0,0,0,252.7412143,3
S01_1199.pgm,0,0,0,0,0,,,0,0,0,219.1596035,3
S01_1200.pgm,99.76160431,27.08819771,1.15287024,0.351102805,0.21847775,,0,0,0,0,230.2993842,0.124
S01_1201.pgm,98.68832397,25.37145615,1.118712979,0.332264541,0.214629936,,0,0,0,0,459.8934393,0.119
S01_1202.pgm,0,0,0,0,0,,,0,0,0,101.5872783,3
S01_1203.pgm,0,0,0,0,0,,,0,0,0,82.01117865,3
S01_1204.pgm,0,0,0,0,0,,,0,0,0,85.72092239,3
S01_1205.pgm,0,0,0,0,0,,,0,0,0,82.17296675,3
S01_1206.pgm,0,0,0,0,0,,,0,0,0,75.79241698,3
S01_1207.pgm,0,0,0,0,0,,,0,0,0,94.4818943,3
S01_1208.pgm,0,0,0,0,0,,,0,0,0,81.22656132,3
S01_1209.pgm,0,0,0,0,0,,,0,0,0,66.92989763,3
S01_1210.pgm,0,0,0,0,0,,,0,0,0,69.097264,3
S01_1211.pgm,0,0,0,0,0,,,0,0,0,53.64397081,3
S01_1212.pgm,0,0,0,0,0,,,0,0,0,61.23100609,3
S01_1213.pgm,0,0,0,0,0,,,0,0,0,104.6313174,3
S01_1214.pgm,0,0,0,0,0,,,0,0,0,288.023505,3
S01_1215.pgm,0,0,0,0,0,,,0,0,0,232.024269,3
S01_1216.pgm,0,0,0,0,0,,,0,0,0,172.49771,3
S01_1217.pgm,0,0,0,0,0,,,0,0,0,96.93174884,3
S01_1218.pgm,0,0,0,0,0,,,0,0,0,45.91576428,3
S01_1219.pgm,0,0,0,0,0,,,0,0,0,56.71581295,3
S01_1220.pgm,0,0,0,0,0,,,0,0,0,66.89485158,3
S01_1221.pgm,0,0,0,0,0,,,0,0,0,70.44365182,3
S01_1222.pgm,97.70497894,44.95682526,0.863946397,0.316359703,0.261094297,1,,0,0,0,56.7785158,0.237
S01_1223.pgm,0,0,0,0,0,,,0,0,0,133.0533684,2.026
S01_1224.pgm,0,0,0,0,0,,,0,0,0,147.8095149,2.043
S01_1225.pgm,0,0,0,0,0,,,0,0,0,124.1538424,3
S01_1226.pgm,0,0,0,0,0,,,0,0,0,102.521106,3
S01_1227.pgm,0,0,0,0,0,,,0,0,0,89.36988886,3
S01_1228.pgm,0,0,0,0,0,,,0,0,0,82.94947804,3
S01_123.pgm,99.94512939,22.07045555,0.87890625,0.332006551,0.217838543,,0,0,0,0,96.1027312,0.04
S01_1230.pgm,0,0,0,0,0,,,0,0,0,143.9300232,0.329
S01_1234.pgm,99.79808044,35.38066483,0.87890625,0.321148502,0.258061779,,1,0,0,0,73.77224317,0.396
S01_1236.pgm,0,0,0,0,0,,,0,0,0,282.3083622,0.14
S01_1237.pgm,99.93061066,40.27955627,0.776884013,0.328357107,0.239060338,0,0,0,0,0,218.0955777,0.883
S01_1242.pgm,0,0,0,0,0,,,0,0,0,205.3922486,0.275
S01_1244.pgm,99.72344208,36.59777832,0.849114955,0.330981027,0.262542555,1,0,0,0,0,152.3252318,3
S01_1250.pgm,0,0,0,0,0,,,0,0,0,136.7365811,0.132
S01_1256.pgm,0,0,0,0,0,,,0,0,0,421.1466098,0.226
S01_1259.pgm,0,0,0,0,0,,,0,0,0,426.8689077,0.122
S01_126.pgm,0,0,0,0,0,,,0,0,0,203.8596402,3
S01_1280.pgm,99.99888611,33.04820251,0.893994514,0.335791994,0.244353832,,0,0,0,0,114.1859621,0.093
S01_1290.pgm,0,0,0,0,0,,,0,0,0,182.9867622,0.485
S01_1291.pgm,0,0,0,0,0,,,0,0,0,176.2255642,3
S01_1294.pgm,0,0,0,0,0,,,0,0,0,158.2287597,3
S01_1295.pgm,0,0,0,0,0,,,0,0,0,126.388112,3
S01_1296.pgm,0,0,0,0,0,,,0,0,0,101.5121364,3
S01_1297.pgm,0,0,0,0,0,,,0,0,0,95.09528261,3
S01_1298.pgm,0,0,0,0,0,,,0,0,0,95.6229214,3
S01_1299.pgm,0,0,0,0,0,,,0,0,0,64.73137739,3
S01_1300.pgm,0,0,0,0,0,,,0,0,0,68.25445037,3
S01_1301.pgm,0,0,0,0,0,,,0,0,0,71.7417352,3
S01_1302.pgm,0,0,0,0,0,,,0,0,0,88.08248859,3
S01_1305.pgm,0,0,0,0,0,,,0,0,0,128.8850868,0.567
S01_1306.pgm,0,0,0,0,0,,,0,0,0,151.0180122,0.372
S01_1307.pgm,0,0,0,0,0,,,0,0,0,131.4625888,1.11
S01_1318.pgm,0,0,0,0,0,,,0,0,0,214.9466423,0.138
S01_1321.pgm,0,0,0,0,0,,,0,0,0,182.3532969,0.124
S01_1322.pgm,93.67812347,30.75004005,0.940029656,0.316781408,0.207862909,1,0,0,0,0,302.2563974,0.131
S01_1323.pgm,0,0,0,0,0,,,0,0,0,243.2646712,0.373
S01_1329.pgm,99.99658966,25.46056747,0.819837411,0.304691397,0.233873098,1,0,0,0,0,154.1987974,3
S01_133.pgm,0,0,0,0,0,,,0,0,0,192.9872678,0.237
S01_1332.pgm,99.98535156,32.46985245,0.741956391,0.297462762,0.210522578,,0,0,0,0,185.9163946,3
S01_1333.pgm,99.99681854,36.92870331,0.707863335,0.308031127,0.224335866,,1,0,0,0,75.08849528,0.219
S01_1339.pgm,99.77250671,27.46441269,0.909211189,0.325072658,0.237639513,1,1,0,0,0,302.6529134,3
S01_1342.pgm,99.92115784,33.05360794,0.748890572,0.299411997,0.212263995,0,,0,0,0,136.3994615,1.032
S01_1344.pgm,0,0,0,0,0,,,0,0,0,202.2151557,0.349
S01_1345.pgm,99.96139526,33.97586823,0.694444411,0.303787105,0.229197662,0,,0,0,0,63.6216717,3
S01_1346.pgm,99.9574585,32.78875351,0.707863335,0.311257021,0.203440593,1,,0,0,0,301.4231793,3
S01_1347.pgm,99.89064026,32.96894836,0.735086416,0.289301128,0.19948422,,,0,0,0,92.36535643,0.362
S01_1348.pgm,99.93807983,33.52228546,0.694444411,0.287617498,0.219781784,0,,0,0,0,298.8116006,0.267
S01_1349.pgm,99.92041016,35.25305557,0.674540843,0.313072796,0.198147026,,0,0,0,0,56.3739411,0.458
S01_135.pgm,99.99717712,26.56437492,0.97136188,0.337240837,0.251206912,1,0,0,0,0,58.99573996,1.007
S01_1350.pgm,0,0,0,0,0,,,0,0,0,209.9261719,3
S01_1351.pgm,0,0,0,0,0,,,0,0,0,174.5336109,3
S01_1352.pgm,0,0,0,0,0,,,0,0,0,211.1797568,3
S01_1353.pgm,0,0,0,0,0,,,0,0,0,178.5171587,3
S01_1354.pgm,0,0,0,0,0,,,0,0,0,144.1367718,3
S01_1355.pgm,0,0,0,0,0,,,0,0,0,162.2676544,3
S01_136.pgm,99.99232483,22.83519554,1.019323299,0.346371244,0.23827184,1,1,0,0,0,34.3751548,3
S01_1360.pgm,0,0,0,0,0,,,0,0,0,126.5526664,1.027
S01_1361.pgm,0,0,0,0,0,,,0,0,0,104.9961645,0.541
S01_1365.pgm,0,0,0,0,0,,,0,0,0,101.8258764,0.299
S01_1371.pgm,99.95263672,31.59893227,1.003207629,0.346753857,0.224782975,1,0,0,0,0,155.0406663,3
S01_1373.pgm,0,0,0,0,0,,,0,0,0,69.67455372,0.212
S01_138.pgm,99.99298859,26.00441551,0.97136188,0.332517555,0.237997482,0,1,0,0,0,543.62547,0.492
S01_1380.pgm,0,0,0,0,0,,,0,0,0,155.7203222,0.141
S01_1381.pgm,0,0,0,0,0,,,0,0,0,145.0752609,0.129
S01_1385.pgm,99.97453308,18.79330826,1.003207629,0.336444593,0.250760955,,1,0,0,0,90.96145625,3
S01_139.pgm,99.99306488,25.63684654,1.051939633,0.340240744,0.22566384,1,1,0,0,0,164.299605,1.213
S01_140.pgm,0,0,0,0,0,,,0,0,0,367.4828299,0.171
S01_1400.pgm,0,0,0,0,0,,,0,0,0,99.66867287,0.494
S01_1408.pgm,99.98648834,28.0690136,0.909211189,0.323125781,0.23527592,,,0,0,0,174.6544951,0.064
S01_1414.pgm,99.87714386,22.61351585,0.762823036,0.296148852,0.224528256,0,,0,0,0,76.23234378,0.113
S01_1417.pgm,0,0,0,0,0,,,0,0,0,210.8954015,3
S01_1418.pgm,0,0,0,0,0,,,0,0,0,240.1114633,3
S01_1419.pgm,0,0,0,0,0,,,0,0,0,240.1114633,3
S01_1420.pgm,0,0,0,0,0,,,0,0,0,208.6546759,3
S01_1421.pgm,0,0,0,0,0,,,0,0,0,179.9674025,3
S01_1422.pgm,0,0,0,0,0,,,0,0,0,230.9088172,3
S01_1425.pgm,0,0,0,0,0,,,0,0,0,162.710391,3
S01_1430.pgm,0,0,0,0,0,,,0,0,0,157.4215901,0.798
S01_1434.pgm,0,0,0,0,0,,,0,0,0,133.1396484,0.384
S01_1435.pgm,0,0,0,0,0,,,0,0,0,108.9673702,0.784
S01_144.pgm,99.99311829,27.56327057,1.051939633,0.349195136,0.263563444,1,0,0,0,0,80.66283576,0.529
S01_1443.pgm,0,0,0,0,0,,,0,0,0,170.5216831,0.215
S01_1444.pgm,99.97573853,26.33864021,1.118712979,0.356225872,0.247076468,1,1,0,0,0,159.232467,3
S01_1445.pgm,99.87715149,31.16222,1.019323299,0.334408215,0.2293496,,1,0,0,0,320.1741412,0.189
S01_1446.pgm,99.9521637,30.15571785,1.085069362,0.338010951,0.223371982,,0,0,0,0,54.21847854,3
S01_1447.pgm,99.96717834,33.13085938,1.035567139,0.334216004,0.234846303,0,0,0,0,0,31.31682067,0.939
S01_1448.pgm,99.97377777,32.37006378,1.019323299,0.334434616,0.235257822,0,0,0,0,0,186.038007,0.103
S01_145.pgm,99.99456024,26.54426765,1.051939633,0.344558547,0.264028481,1,0,0,0,0,51.40145078,1.042
S01_1450.pgm,0,0,0,0,0,,,0,0,0,190.0680609,0.13
S01_1453.pgm,0,0,0,0,0,,,0,0,0,229.4075498,0.145
S01_1459.pgm,99.9651947,35.80315399,0.681153997,0.266783446,0.231452865,,,0,0,0,261.3866999,0.381
S01_146.pgm,99.96481323,25.73615265,1.118712979,0.342524273,0.256821348,1,1,0,0,0,527.0030736,0.258
S01_1460.pgm,99.96028137,29.22565651,0.863946397,0.310799439,0.242246616,,1,0,0,0,217.5994545,3
S01_1461.pgm,99.84063721,29.85982513,0.834412033,0.302922069,0.258682603,0,0,0,0,0,53.08988528,0.097
S01_1463.pgm,99.91373444,31.23443222,0.834412033,0.315163334,0.24000374,0,,0,0,0,192.8879778,3
S01_1466.pgm,99.94675446,34.76834869,0.849114955,0.298043086,0.228600339,,,0,0,0,120.9988152,3
S01_1469.pgm,99.83262634,33.23498535,0.87890625,0.314111223,0.237294063,1,,0,0,0,82.22298172,3
S01_147.pgm,99.98731995,28.08613777,1.068440293,0.345005098,0.269531708,1,0,0,0,0,206.6104508,3
S01_1470.pgm,99.94124603,35.91254425,0.776884013,0.287797774,0.24274451,0,,0,0,0,67.54138211,0.291
S01_1472.pgm,99.92129517,33.92289352,0.819837411,0.293381266,0.201375015,,0,0,0,0,72.48904965,3
S01_1473.pgm,99.92723846,35.51833344,0.762823036,0.294123347,0.24566643,1,1,0,0,0,204.2693204,0.139
S01_1474.pgm,0,0,0,0,0,,,0,0,0,99.91813132,3
S01_1475.pgm,99.20584869,28.95573044,0.955631563,0.301537234,0.227561763,,,0,0,0,536.4210538,0.142
S01_1476.pgm,0,0,0,0,0,,,0,0,0,98.8724805,3
S01_1477.pgm,0,0,0,0,0,,,0,0,0,124.0403064,3
S01_1478.pgm,0,0,0,0,0,,,0,0,0,98.14307092,3
S01_1479.pgm,98.67333221,32.83313751,0.834412033,0.309458716,0.221189227,1,,0,0,0,333.2961509,3
S01_148.pgm,0,0,0,0,0,,,0,0,0,313.0044934,0.104
S01_1480.pgm,99.75692749,37.24895859,0.694444411,0.263889373,0.202869363,1,,0,0,0,182.1177632,0.107
S01_1481.pgm,99.5493927,35.11806488,0.694444411,0.264502515,0.205940595,,,0,0,0,689.6185992,0.412
S01_1482.pgm,0,0,0,0,0,,,0,0,0,159.6792263,3
S01_1483.pgm,99.21748352,27.33652306,0.735086416,0.303119757,0.217577743,1,,0,0,0,149.3371119,0.149
S01_1484.pgm,0,0,0,0,0,,,0,0,0,277.2389515,3
S01_1485.pgm,0,0,0,0,0,,,0,0,0,242.9968318,3
S01_1486.pgm,0,0,0,0,0,,,0,0,0,299.4143349,3
S01_1487.pgm,0,0,0,0,0,,,0,0,0,269.5411088,3
S01_1488.pgm,0,0,0,0,0,,,0,0,0,203.7914039,3
S01_1489.pgm,0,0,0,0,0,,,0,0,0,208.6307865,3
S01_149.pgm,99.97276306,31.69688606,1.035567139,0.34951415,0.248651103,1,0,0,0,0,60.45091275,0.212
S01_1490.pgm,0,0,0,0,0,,,0,0,0,206.8885018,3
S01_1491.pgm,0,0,0,0,0,,,0,0,0,233.0387362,3
S01_1492.pgm,0,0,0,0,0,,,0,0,0,107.3363854,3
S01_1493.pgm,0,0,0,0,0,,,0,0,0,69.98431957,0.951
S01_1494.pgm,99.15055847,35.2061882,0.819837411,0.341625624,0.241215761,,0,0,0,0,302.1330792,3
S01_1495.pgm,0,0,0,0,0,,,0,0,0,39.79053911,3
S01_1498.pgm,99.96364594,32.3952446,0.893994514,0.342324421,0.220835485,,1,0,0,0,285.523749,3
S01_15.pgm,0,0,0,0,0,,,0,0,0,208.3734621,0.123
S01_150.pgm,99.96656036,30.20309258,1.035567139,0.351368275,0.255558486,1,0,0,0,0,15.72191506,1.086
S01_151.pgm,0,0,0,0,0,,,0,0,0,366.7738265,3
S01_1518.pgm,0,0,0,0,0,,,0,0,0,283.2933408,0.205
S01_1522.pgm,99.97467804,39.2732811,0.748890572,0.311033287,0.227885538,1,0,0,0,0,42.4465737,1.035
S01_1527.pgm,99.92106628,25.33625031,0.955631563,0.325878289,0.244640634,,0,0,0,0,288.3148984,3
S01_1528.pgm,99.92025757,26.55823517,0.893994514,0.325812532,0.250889893,,1,0,0,0,37.22611642,0.317
S01_1529.pgm,99.99369049,30.10609436,0.776884013,0.329501511,0.23222687,0,0,0,0,0,80.78743937,0.087
S01_153.pgm,99.95064545,26.88172722,1.222725693,0.357989694,0.239694756,1,0,0,0,0,141.1257372,3
S01_1530.pgm,99.83625793,24.91973114,0.955631563,0.330054324,0.237358613,,1,0,0,0,150.1736019,0.881
S01_1531.pgm,99.85483551,24.72399139,0.97136188,0.352312001,0.254074456,1,0,0,0,0,844.7227672,0.119
S01_1532.pgm,99.90073395,25.424263,0.92455616,0.339867767,0.233061524,,,0,0,0,220.3000677,3
S01_1533.pgm,99.82843018,25.82225227,0.901570749,0.332153613,0.254806414,,0,0,0,0,219.9384048,3
S01_1534.pgm,99.95993805,26.11932373,0.893994514,0.36589344,0.270567669,,0,0,0,0,144.4550644,0.764
S01_1535.pgm,99.67077637,27.3098793,0.834412033,0.314458434,0.242899798,,,0,0,0,104.9635145,0.229
S01_1536.pgm,99.9202652,23.94142532,0.92455616,0.328422318,0.223091095,1,1,0,0,0,115.5330106,3
S01_1537.pgm,99.97598267,24.88514709,0.909211189,0.348292351,0.244808971,,0,0,0,0,250.9118621,0.029
S01_1538.pgm,99.91356659,25.35022163,0.901570749,0.328244176,0.231234557,,,0,0,0,127.8803396,0.403
S01_1539.pgm,99.51630402,23.55619431,0.955631563,0.326942664,0.231942257,1,,0,0,0,39.01122452,1.284
S01_154.pgm,99.95295715,27.75343323,1.205069083,0.354753734,0.253198145,1,0,0,0,0,73.30695756,3
S01_1540.pgm,99.83316803,31.67373466,0.87890625,0.321395759,0.237946014,1,,0,0,0,133.7771685,0.269
S01_1541.pgm,99.17501068,28.74058533,0.979259142,0.318100257,0.246090259,1,,0,0,0,163.8907512,1.021
S01_1542.pgm,99.44595337,26.17683792,1.085069362,0.336529683,0.244639075,,,0,0,0,51.69290725,0.313
S01_1543.pgm,99.64559937,27.65902901,0.987220609,0.344364631,0.237308676,,0,0,0,0,116.0211722,0.845
S01_1544.pgm,98.16331482,28.79818153,0.940029656,0.305088538,0.234274454,0,,0,0,0,20.18900535,0.381
S01_1545.pgm,0,0,0,0,0,,,0,0,0,69.09253759,3
S01_1546.pgm,0,0,0,0,0,,,0,0,0,65.21741156,3
S01_1547.pgm,0,0,0,0,0,,,0,0,0,70.97133533,3
S01_1548.pgm,0,0,0,0,0,,,0,0,0,92.19798777,3
S01_1549.pgm,0,0,0,0,0,,,0,0,0,127.8091349,3
S01_155.pgm,99.95197296,29.16299057,1.135727531,0.346079146,0.243668649,1,1,0,0,0,334.2976345,3
S01_1550.pgm,0,0,0,0,0,,,0,0,0,140.0087404,3
S01_1551.pgm,0,0,0,0,0,,,0,0,0,111.1599752,3
S01_1552.pgm,0,0,0,0,0,,,0,0,0,111.1363168,3
S01_1553.pgm,0,0,0,0,0,,,0,0,0,104.5508528,3
S01_1554.pgm,0,0,0,0,0,,,0,0,0,125.3043298,3
S01_1555.pgm,0,0,0,0,0,,,0,0,0,118.8401619,3
S01_1557.pgm,99.31845856,15.78406143,1.011233361,0.334201142,0.231564726,,1,0,0,0,269.9508059,3
S01_1559.pgm,0,0,0,0,0,,,0,0,0,98.51513893,3
S01_1560.pgm,99.98925781,33.75878143,0.755824702,0.297319095,0.234078195,,0,0,0,0,177.677781,3
S01_1564.pgm,99.98194122,31.11264992,0.805391201,0.326512465,0.24593245,1,0,0,0,0,261.2487582,3
S01_1567.pgm,99.9106369,30.70567894,0.834412033,0.301288278,0.228982123,,0,0,0,0,67.28551482,3
S01_157.pgm,99.94417572,27.51508141,1.240510451,0.345008755,0.240980958,,0,0,0,0,24.05505592,0.416
S01_1577.pgm,99.86791229,36.42724609,0.681153997,0.302458029,0.238077683,,1,0,0,0,254.5143726,3
S01_1584.pgm,99.86967468,33.23532486,0.707863335,0.297487164,0.226059029,1,0,0,0,0,239.0595566,3
S01_1586.pgm,99.89286804,33.1726265,0.707863335,0.292361085,0.222033618,0,1,0,0,0,41.10551103,0.908
S01_1587.pgm,98.85423279,30.99236107,0.707863335,0.305489837,0.220986982,,,0,0,0,65.1712652,3
S01_1588.pgm,0,0,0,0,0,,,0,0,0,232.3528689,0.724
S01_159.pgm,0,0,0,0,0,,,0,0,0,611.9703602,3
S01_1590.pgm,99.41088867,30.23598862,0.735086416,0.296208434,0.264476515,,0,0,0,0,81.33635947,0.024
S01_1591.pgm,0,0,0,0,0,,,0,0,0,188.571206,3
S01_1592.pgm,0,0,0,0,0,,,0,0,0,177.0030302,3
S01_1593.pgm,0,0,0,0,0,,,0,0,0,145.058481,3
S01_1594.pgm,0,0,0,0,0,,,0,0,0,128.6986385,3
S01_1595.pgm,0,0,0,0,0,,,0,0,0,103.2604449,3
S01_1596.pgm,0,0,0,0,0,,,0,0,0,70.62941656,3
S01_160.pgm,0,0,0,0,0,,,0,0,0,108.3218408,3
S01_1601.pgm,99.91997528,20.79067802,0.762823036,0.327380341,0.201239087,,0,0,0,0,113.482623,3
