,Face1,Face2,MatchScore
0,S09_1.pgm,S24_1.pgm,1.102
0,S09_1.pgm,S25_1.pgm,1.673
0,S09_1.pgm,S26_1.pgm,100
0,S09_1.pgm,S27_1.pgm,100
0,S09_1.pgm,S28_1.pgm,1.906
0,S09_1.pgm,S29_1.pgm,100
0,S09_1.pgm,S30_1.pgm,100
0,S10_1.pgm,S11_1.pgm,1.976
0,S10_1.pgm,S12_1.pgm,1.486
0,S10_1.pgm,S13_1.pgm,100
0,S10_1.pgm,S14_1.pgm,100
0,S10_1.pgm,S15_1.pgm,100
0,S10_1.pgm,S16_1.pgm,100
0,S10_1.pgm,S17_1.pgm,100
0,S10_1.pgm,S18_1.pgm,2.013
0,S10_1.pgm,S19_1.pgm,1.27
0,S10_1.pgm,S20_1.pgm,1.418
0,S10_1.pgm,S21_1.pgm,1.752
0,S10_1.pgm,S22_1.pgm,2.037
0,S10_1.pgm,S23_1.pgm,100
0,S10_1.pgm,S24_1.pgm,1.406
0,S10_1.pgm,S25_1.pgm,2.127
0,S10_1.pgm,S26_1.pgm,100
0,S10_1.pgm,S27_1.pgm,100
0,S10_1.pgm,S28_1.pgm,1.738
0,S10_1.pgm,S29_1.pgm,100
0,S10_1.pgm,S30_1.pgm,100
0,S11_1.pgm,S12_1.pgm,1.428
0,S11_1.pgm,S13_1.pgm,100
0,S11_1.pgm,S14_1.pgm,100
0,S11_1.pgm,S15_1.pgm,100
0,S11_1.pgm,S16_1.pgm,100
0,S11_1.pgm,S17_1.pgm,100
0,S11_1.pgm,S18_1.pgm,1.46
0,S11_1.pgm,S19_1.pgm,1.396
0,S11_1.pgm,S20_1.pgm,1.828
0,S11_1.pgm,S21_1.pgm,1.159
0,S11_1.pgm,S22_1.pgm,1.615
0,S11_1.pgm,S23_1.pgm,100
0,S11_1.pgm,S24_1.pgm,1.002
0,S11_1.pgm,S25_1.pgm,0.573
0,S11_1.pgm,S26_1.pgm,100
0,S11_1.pgm,S27_1.pgm,100
0,S11_1.pgm,S28_1.pgm,1.389
0,S11_1.pgm,S29_1.pgm,100
0,S11_1.pgm,S30_1.pgm,100
0,S12_1.pgm,S13_1.pgm,100
0,S12_1.pgm,S14_1.pgm,100
0,S12_1.pgm,S15_1.pgm,100
0,S12_1.pgm,S16_1.pgm,100
0,S12_1.pgm,S17_1.pgm,100
0,S12_1.pgm,S18_1.pgm,0.666
0,S12_1.pgm,S19_1.pgm,0.882
0,S12_1.pgm,S20_1.pgm,2
0,S12_1.pgm,S21_1.pgm,0.687
0,S12_1.pgm,S22_1.pgm,0.734
0,S12_1.pgm,S23_1.pgm,100
0,S12_1.pgm,S24_1.pgm,0.483
0,S12_1.pgm,S25_1.pgm,1.622
0,S12_1.pgm,S26_1.pgm,100
0,S12_1.pgm,S27_1.pgm,100
0,S12_1.pgm,S28_1.pgm,0.963
0,S12_1.pgm,S29_1.pgm,100
0,S12_1.pgm,S30_1.pgm,100
0,S13_1.pgm,S14_1.pgm,100
0,S13_1.pgm,S15_1.pgm,100
0,S13_1.pgm,S16_1.pgm,100
0,S13_1.pgm,S17_1.pgm,100
0,S13_1.pgm,S18_1.pgm,100
0,S13_1.pgm,S19_1.pgm,100
0,S13_1.pgm,S20_1.pgm,100
0,S13_1.pgm,S21_1.pgm,100
0,S13_1.pgm,S22_1.pgm,100
0,S13_1.pgm,S23_1.pgm,100
0,S13_1.pgm,S24_1.pgm,100
0,S13_1.pgm,S25_1.pgm,100
0,S13_1.pgm,S26_1.pgm,100
0,S13_1.pgm,S27_1.pgm,100
0,S13_1.pgm,S28_1.pgm,100
0,S13_1.pgm,S29_1.pgm,100
0,S13_1.pgm,S30_1.pgm,100
0,S14_1.pgm,S15_1.pgm,100
0,S14_1.pgm,S16_1.pgm,100
0,S14_1.pgm,S17_1.pgm,100
0,S14_1.pgm,S18_1.pgm,100
0,S14_1.pgm,S19_1.pgm,100
0,S14_1.pgm,S20_1.pgm,100
0,S14_1.pgm,S21_1.pgm,100
0,S14_1.pgm,S22_1.pgm,100
0,S14_1.pgm,S23_1.pgm,100
0,S14_1.pgm,S24_1.pgm,100
0,S14_1.pgm,S25_1.pgm,100
0,S14_1.pgm,S26_1.pgm,100
0,S14_1.pgm,S27_1.pgm,100
0,S14_1.pgm,S28_1.pgm,100
0,S14_1.pgm,S29_1.pgm,100
0,S14_1.pgm,S30_1.pgm,100
0,S15_1.pgm,S16_1.pgm,100
0,S15_1.pgm,S17_1.pgm,100
0,S15_1.pgm,S18_1.pgm,100
0,S15_1.pgm,S19_1.pgm,100
0,S15_1.pgm,S20_1.pgm,100
0,S15_1.pgm,S21_1.pgm,100
0,S15_1.pgm,S22_1.pgm,100
0,S15_1.pgm,S23_1.pgm,100
0,S15_1.pgm,S24_1.pgm,100
0,S15_1.pgm,S25_1.pgm,100
0,S15_1.pgm,S26_1.pgm,100
0,S15_1.pgm,S27_1.pgm,100
0,S15_1.pgm,S28_1.pgm,100
0,S15_1.pgm,S29_1.pgm,100
0,S15_1.pgm,S30_1.pgm,100
0,S16_1.pgm,S17_1.pgm,100
0,S16_1.pgm,S18_1.pgm,100
0,S16_1.pgm,S19_1.pgm,100
0,S16_1.pgm,S20_1.pgm,100
0,S16_1.pgm,S21_1.pgm,100
0,S16_1.pgm,S22_1.pgm,100
0,S16_1.pgm,S23_1.pgm,100
0,S16_1.pgm,S24_1.pgm,100
0,S16_1.pgm,S25_1.pgm,100
0,S16_1.pgm,S26_1.pgm,100
0,S16_1.pgm,S27_1.pgm,100
0,S16_1.pgm,S28_1.pgm,100
0,S16_1.pgm,S29_1.pgm,100
0,S16_1.pgm,S30_1.pgm,100
0,S17_1.pgm,S18_1.pgm,100
0,S17_1.pgm,S19_1.pgm,100
0,S17_1.pgm,S20_1.pgm,100
0,S17_1.pgm,S21_1.pgm,100
0,S17_1.pgm,S22_1.pgm,100
0,S17_1.pgm,S23_1.pgm,100
0,S17_1.pgm,S24_1.pgm,100
0,S17_1.pgm,S25_1.pgm,100
0,S17_1.pgm,S26_1.pgm,100
0,S17_1.pgm,S27_1.pgm,100
0,S17_1.pgm,S28_1.pgm,100
0,S17_1.pgm,S29_1.pgm,100
0,S17_1.pgm,S30_1.pgm,100
0,S18_1.pgm,S19_1.pgm,1.197
0,S18_1.pgm,S20_1.pgm,1.755
0,S18_1.pgm,S21_1.pgm,0.56
0,S18_1.pgm,S22_1.pgm,0.868
0,S18_1.pgm,S23_1.pgm,100
0,S18_1.pgm,S24_1.pgm,0.861
0,S18_1.pgm,S25_1.pgm,1.689
0,S18_1.pgm,S26_1.pgm,100
0,S18_1.pgm,S27_1.pgm,100
0,S18_1.pgm,S28_1.pgm,1.661
0,S18_1.pgm,S29_1.pgm,100
0,S18_1.pgm,S30_1.pgm,100
0,S19_1.pgm,S20_1.pgm,1.514
0,S19_1.pgm,S21_1.pgm,0.765
0,S19_1.pgm,S22_1.pgm,1.489
0,S19_1.pgm,S23_1.pgm,100
0,S19_1.pgm,S24_1.pgm,0.709
0,S19_1.pgm,S25_1.pgm,1.813
0,S19_1.pgm,S26_1.pgm,100
0,S19_1.pgm,S27_1.pgm,100
0,S19_1.pgm,S28_1.pgm,1.659
0,S19_1.pgm,S29_1.pgm,100
0,S19_1.pgm,S30_1.pgm,100
0,S20_1.pgm,S21_1.pgm,1.444
0,S20_1.pgm,S22_1.pgm,2.438
0,S20_1.pgm,S23_1.pgm,100
0,S20_1.pgm,S24_1.pgm,1.671
0,S20_1.pgm,S25_1.pgm,1.815
0,S20_1.pgm,S26_1.pgm,100
0,S20_1.pgm,S27_1.pgm,100
0,S20_1.pgm,S28_1.pgm,1.883
0,S20_1.pgm,S29_1.pgm,100
0,S20_1.pgm,S30_1.pgm,100
0,S21_1.pgm,S22_1.pgm,0.988
0,S21_1.pgm,S23_1.pgm,100
0,S21_1.pgm,S24_1.pgm,0.578
0,S21_1.pgm,S25_1.pgm,1.089
0,S21_1.pgm,S26_1.pgm,100
0,S21_1.pgm,S27_1.pgm,100
0,S21_1.pgm,S28_1.pgm,1.328
0,S21_1.pgm,S29_1.pgm,100
0,S21_1.pgm,S30_1.pgm,100
0,S22_1.pgm,S23_1.pgm,100
0,S22_1.pgm,S24_1.pgm,1.192
0,S22_1.pgm,S25_1.pgm,1.678
0,S22_1.pgm,S26_1.pgm,100
0,S22_1.pgm,S27_1.pgm,100
0,S22_1.pgm,S28_1.pgm,1.763
0,S22_1.pgm,S29_1.pgm,100
0,S22_1.pgm,S30_1.pgm,100
0,S23_1.pgm,S24_1.pgm,100
0,S23_1.pgm,S25_1.pgm,100
0,S23_1.pgm,S26_1.pgm,100
0,S23_1.pgm,S27_1.pgm,100
0,S23_1.pgm,S28_1.pgm,100
0,S23_1.pgm,S29_1.pgm,100
0,S23_1.pgm,S30_1.pgm,100
0,S24_1.pgm,S25_1.pgm,1.178
0,S24_1.pgm,S26_1.pgm,100
0,S24_1.pgm,S27_1.pgm,100
0,S24_1.pgm,S28_1.pgm,1.051
0,S24_1.pgm,S29_1.pgm,100
0,S24_1.pgm,S30_1.pgm,100
0,S25_1.pgm,S26_1.pgm,100
0,S25_1.pgm,S27_1.pgm,100
0,S25_1.pgm,S28_1.pgm,0.998
0,S25_1.pgm,S29_1.pgm,100
0,S25_1.pgm,S30_1.pgm,100
0,S26_1.pgm,S27_1.pgm,100
0,S26_1.pgm,S28_1.pgm,100
0,S26_1.pgm,S29_1.pgm,100
0,S26_1.pgm,S30_1.pgm,100
0,S27_1.pgm,S28_1.pgm,100
0,S27_1.pgm,S29_1.pgm,100
0,S27_1.pgm,S30_1.pgm,100
0,S28_1.pgm,S29_1.pgm,100
0,S28_1.pgm,S30_1.pgm,100
0,S29_1.pgm,S30_1.pgm,100
0,S01_2.pgm,S02_2.pgm,1.592
0,S01_2.pgm,S03_2.pgm,0.46
0,S01_2.pgm,S04_2.pgm,1.416
0,S01_2.pgm,S05_2.pgm,1.107
0,S01_2.pgm,S06_2.pgm,1.287
0,S01_2.pgm,S07_2.pgm,1.332
0,S01_2.pgm,S09_2.pgm,0.968
0,S01_2.pgm,S10_2.pgm,1.995
0,S01_2.pgm,S11_2.pgm,1.146
0,S01_2.pgm,S12_2.pgm,0.776
0,S01_2.pgm,S13_2.pgm,1.236
0,S01_2.pgm,S14_2.pgm,100
0,S01_2.pgm,S15_2.pgm,100
0,S01_2.pgm,S16_2.pgm,1.227
0,S01_2.pgm,S17_2.pgm,100
0,S01_2.pgm,S18_2.pgm,1.399
0,S01_2.pgm,S19_2.pgm,1.419
0,S01_2.pgm,S20_2.pgm,1.746
0,S01_2.pgm,S21_2.pgm,0.746
0,S01_2.pgm,S22_2.pgm,1.132
0,S01_2.pgm,S23_2.pgm,1.241
0,S01_2.pgm,S24_2.pgm,0.758
0,S01_2.pgm,S25_2.pgm,1.081
0,S01_2.pgm,S26_2.pgm,100
0,S01_2.pgm,S27_2.pgm,100
0,S01_2.pgm,S28_2.pgm,0.867
0,S01_2.pgm,S29_2.pgm,0.943
0,S01_2.pgm,S30_2.pgm,100
0,S02_2.pgm,S03_2.pgm,1.673
0,S02_2.pgm,S04_2.pgm,2.236
0,S02_2.pgm,S05_2.pgm,1.305
0,S02_2.pgm,S06_2.pgm,1.347
0,S02_2.pgm,S07_2.pgm,1.154
0,S02_2.pgm,S09_2.pgm,2.23
0,S02_2.pgm,S10_2.pgm,1.745
0,S02_2.pgm,S11_2.pgm,1.973
0,S02_2.pgm,S12_2.pgm,2.02
0,S02_2.pgm,S13_2.pgm,0.956
0,S02_2.pgm,S14_2.pgm,100
0,S02_2.pgm,S15_2.pgm,100
0,S02_2.pgm,S16_2.pgm,1.919
0,S02_2.pgm,S17_2.pgm,100
0,S02_2.pgm,S18_2.pgm,2.086
0,S02_2.pgm,S19_2.pgm,1.47
0,S02_2.pgm,S20_2.pgm,1.418
0,S02_2.pgm,S21_2.pgm,1.683
0,S02_2.pgm,S22_2.pgm,2.254
0,S02_2.pgm,S23_2.pgm,1.06
0,S02_2.pgm,S24_2.pgm,1.426
0,S02_2.pgm,S25_2.pgm,1.7
0,S02_2.pgm,S26_2.pgm,100
0,S02_2.pgm,S27_2.pgm,100
0,S02_2.pgm,S28_2.pgm,1.523
0,S02_2.pgm,S29_2.pgm,1.848
0,S02_2.pgm,S30_2.pgm,100
0,S03_2.pgm,S04_2.pgm,1.732
0,S03_2.pgm,S05_2.pgm,1.121
0,S03_2.pgm,S06_2.pgm,1.364
0,S03_2.pgm,S07_2.pgm,1.52
0,S03_2.pgm,S09_2.pgm,1.005
0,S03_2.pgm,S10_2.pgm,1.809
0,S03_2.pgm,S11_2.pgm,1.516
0,S03_2.pgm,S12_2.pgm,0.76
0,S03_2.pgm,S13_2.pgm,1.241
0,S03_2.pgm,S14_2.pgm,100
0,S03_2.pgm,S15_2.pgm,100
0,S03_2.pgm,S16_2.pgm,1.609
0,S03_2.pgm,S17_2.pgm,100
0,S03_2.pgm,S18_2.pgm,1.258
0,S03_2.pgm,S19_2.pgm,1.144
0,S03_2.pgm,S20_2.pgm,1.646
0,S03_2.pgm,S21_2.pgm,0.771
0,S03_2.pgm,S22_2.pgm,1.053
0,S03_2.pgm,S23_2.pgm,1.179
0,S03_2.pgm,S24_2.pgm,0.492
0,S03_2.pgm,S25_2.pgm,1.103
0,S03_2.pgm,S26_2.pgm,100
0,S03_2.pgm,S27_2.pgm,100
0,S03_2.pgm,S28_2.pgm,0.655
0,S03_2.pgm,S29_2.pgm,0.989
0,S03_2.pgm,S30_2.pgm,100
0,S04_2.pgm,S05_2.pgm,1.157
0,S04_2.pgm,S06_2.pgm,1.19
0,S04_2.pgm,S07_2.pgm,1.952
0,S04_2.pgm,S09_2.pgm,0.911
0,S04_2.pgm,S10_2.pgm,2.225
0,S04_2.pgm,S11_2.pgm,1.561
0,S04_2.pgm,S12_2.pgm,0.945
0,S04_2.pgm,S13_2.pgm,1.555
0,S04_2.pgm,S14_2.pgm,100
0,S04_2.pgm,S15_2.pgm,100
0,S04_2.pgm,S16_2.pgm,1.277
0,S04_2.pgm,S17_2.pgm,100
0,S04_2.pgm,S18_2.pgm,1.553
0,S04_2.pgm,S19_2.pgm,1.838
0,S04_2.pgm,S20_2.pgm,2.572
0,S04_2.pgm,S21_2.pgm,1.257
0,S04_2.pgm,S22_2.pgm,0.983
0,S04_2.pgm,S23_2.pgm,1.629
0,S04_2.pgm,S24_2.pgm,2.018
0,S04_2.pgm,S25_2.pgm,1.662
0,S04_2.pgm,S26_2.pgm,100
0,S04_2.pgm,S27_2.pgm,100
0,S04_2.pgm,S28_2.pgm,2.55
0,S04_2.pgm,S29_2.pgm,2.082
0,S04_2.pgm,S30_2.pgm,100
0,S05_2.pgm,S06_2.pgm,0.239
0,S05_2.pgm,S07_2.pgm,0.847
0,S05_2.pgm,S09_2.pgm,1.603
0,S05_2.pgm,S10_2.pgm,1.333
0,S05_2.pgm,S11_2.pgm,1.297
0,S05_2.pgm,S12_2.pgm,1.383
0,S05_2.pgm,S13_2.pgm,0.645
0,S05_2.pgm,S14_2.pgm,100
0,S05_2.pgm,S15_2.pgm,100
0,S05_2.pgm,S16_2.pgm,0.86
0,S05_2.pgm,S17_2.pgm,100
0,S05_2.pgm,S18_2.pgm,1.495
0,S05_2.pgm,S19_2.pgm,0.79
0,S05_2.pgm,S20_2.pgm,1.048
0,S05_2.pgm,S21_2.pgm,0.63
0,S05_2.pgm,S22_2.pgm,1.745
0,S05_2.pgm,S23_2.pgm,0.479
0,S05_2.pgm,S24_2.pgm,0.79
0,S05_2.pgm,S25_2.pgm,0.952
0,S05_2.pgm,S26_2.pgm,100
0,S05_2.pgm,S27_2.pgm,100
0,S05_2.pgm,S28_2.pgm,1.489
0,S05_2.pgm,S29_2.pgm,1.724
0,S05_2.pgm,S30_2.pgm,100
0,S06_2.pgm,S07_2.pgm,0.857
0,S06_2.pgm,S09_2.pgm,1.483
0,S06_2.pgm,S10_2.pgm,1.644
0,S06_2.pgm,S11_2.pgm,1.63
0,S06_2.pgm,S12_2.pgm,1.436
0,S06_2.pgm,S13_2.pgm,0.614
0,S06_2.pgm,S14_2.pgm,100
0,S06_2.pgm,S15_2.pgm,100
0,S06_2.pgm,S16_2.pgm,0.832
0,S06_2.pgm,S17_2.pgm,100
0,S06_2.pgm,S18_2.pgm,1.412
0,S06_2.pgm,S19_2.pgm,1.04
0,S06_2.pgm,S20_2.pgm,1.211
0,S06_2.pgm,S21_2.pgm,0.57
0,S06_2.pgm,S22_2.pgm,1.611
0,S06_2.pgm,S23_2.pgm,0.776
0,S06_2.pgm,S24_2.pgm,0.955
0,S06_2.pgm,S25_2.pgm,1.236
0,S06_2.pgm,S26_2.pgm,100
0,S06_2.pgm,S27_2.pgm,100
0,S06_2.pgm,S28_2.pgm,1.607
0,S06_2.pgm,S29_2.pgm,1.647
0,S06_2.pgm,S30_2.pgm,100
0,S07_2.pgm,S09_2.pgm,2.045
0,S07_2.pgm,S10_2.pgm,1.406
0,S07_2.pgm,S11_2.pgm,1.418
0,S07_2.pgm,S12_2.pgm,1.78
0,S07_2.pgm,S13_2.pgm,0.502
0,S07_2.pgm,S14_2.pgm,100
0,S07_2.pgm,S15_2.pgm,100
0,S07_2.pgm,S16_2.pgm,1.489
0,S07_2.pgm,S17_2.pgm,100
0,S07_2.pgm,S18_2.pgm,1.456
0,S07_2.pgm,S19_2.pgm,0.973
0,S07_2.pgm,S20_2.pgm,0.422
0,S07_2.pgm,S21_2.pgm,1.014
0,S07_2.pgm,S22_2.pgm,2.182
0,S07_2.pgm,S23_2.pgm,1.084
0,S07_2.pgm,S24_2.pgm,1.057
0,S07_2.pgm,S25_2.pgm,1.492
0,S07_2.pgm,S26_2.pgm,100
0,S07_2.pgm,S27_2.pgm,100
0,S07_2.pgm,S28_2.pgm,1.713
0,S07_2.pgm,S29_2.pgm,2.064
0,S07_2.pgm,S30_2.pgm,100
0,S09_2.pgm,S10_2.pgm,2.113
0,S09_2.pgm,S11_2.pgm,1.896
0,S09_2.pgm,S12_2.pgm,0.375
0,S09_2.pgm,S13_2.pgm,1.531
0,S09_2.pgm,S14_2.pgm,100
0,S09_2.pgm,S15_2.pgm,100
0,S09_2.pgm,S16_2.pgm,1.441
0,S09_2.pgm,S17_2.pgm,100
0,S09_2.pgm,S18_2.pgm,0.922
0,S09_2.pgm,S19_2.pgm,1.735
0,S09_2.pgm,S20_2.pgm,2.468
0,S09_2.pgm,S21_2.pgm,0.775
0,S09_2.pgm,S22_2.pgm,0.114
0,S09_2.pgm,S23_2.pgm,2.065
0,S09_2.pgm,S24_2.pgm,1.159
0,S09_2.pgm,S25_2.pgm,1.615
0,S09_2.pgm,S26_2.pgm,100
0,S09_2.pgm,S27_2.pgm,100
0,S09_2.pgm,S28_2.pgm,1.737
0,S09_2.pgm,S29_2.pgm,1.525
0,S09_2.pgm,S30_2.pgm,100
0,S10_2.pgm,S11_2.pgm,1.591
0,S10_2.pgm,S12_2.pgm,2.115
0,S10_2.pgm,S13_2.pgm,1.954
0,S10_2.pgm,S14_2.pgm,100
0,S10_2.pgm,S15_2.pgm,100
0,S10_2.pgm,S16_2.pgm,1.418
0,S10_2.pgm,S17_2.pgm,100
0,S10_2.pgm,S18_2.pgm,2.382
